Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-fi-base-medication-administration.json	4737	10	0	7	1	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	125	123	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fi-base-medication-request.json	6978	9	0	9	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	181	141	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-fi-base-medication-statement.json	4664	12	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	98	114	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-fi-base-medication.json	1773	5	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	84	92	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fi-base-observation.json	4635	9	0	46	0	0	0	0	0	10	0	0	1	0	0	0	0	1	0	0	144	198	0	1	0	4	0	1
fsh-generated/resources/StructureDefinition-fi-base-organization.json	1121	5	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	67	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fi-base-patient.json	5885	5	0	19	0	0	0	0	1	17	0	0	0	0	0	0	0	1	0	0	220	170	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-fi-base-practitioner-role.json	1994	5	0	18	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	105	113	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fi-base-practitioner.json	2520	5	0	6	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	132	165	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fi-base-procedure.json	5862	4	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	139	132	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-fi-base-provenance.json	2428	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	118	102	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fi-base-reason-for-care.json	4464	4	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	138	139	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fi-base-schedule.json	1413	5	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	56	84	0	0	0	1	0	0
